"manufacturer","module","quantity","manual file name"
"Mutable Instruments","Ripples",1,"Manual - Mutable Instruments Documentation.pdf"
"Mystic Circuits","IDUM",1,"IDUM Manual Draft 7.pdf"
"Nervous Squirrel","Conway's Game",1,"Nervous Squirrel - Conway's Game.pdf"
"Nervous Squirrel","Zeno's Paradox",1,"Nervous Squirrel - Zeno's Paradox.pdf"
"Noise Engineering","Basimilus Iteritas Alia",1,"Basimilus Iteritas Alia Manual - Noise Engineering Documentation.pdf"
"Noise Engineering","Integra Funkitus",1,"Integra Funkitus - Noise Engineering Documentation.pdf"
"Noise Engineering","Numeric Repetitor",1,"NR_manual.pdf"
"Noise Engineering","Sec Ruina",1,"Seca Ruina - Noise Engineering Documentation.pdf"
"Noise Engineering","Terci Ruina",1,"Terci Ruina - Noise Engineering Documentation.pdf"
"Noise Engineering","Zularic Repetitor",1,"Zularic Repetitor Manual - Noise Engineering Documentation.pdf"
"Pittsburgh Modular","Taiga Desktop",1,"Taiga+Desktop+Manual+v2.pdf"
"Qu-Bit","Chord",1,"QB_Chord.pdf"
"Qu-Bit","Data Bender",1,"QB_Data_Bender.pdf"
"Qu-Bit","Mojave",1,"mojave_getting_started.pdf"
"Qu-Bit","Nautilus",1,"Nautilus_v1.1.3.pdf"
"Qu-Bit","Nebulae",1,"Nautilus_v1.1.3.pdf"
"Qu-Bit","Synapse",2,"Synapse.pdf"
"Quanalog Instruments","Boubou",1,"Boubou – Quanalog Instruments.pdf"
"Rebel Technology","Stoicheia",1,"Stoicheia – Rebel Technology.pdf"
"Recovery Effects","Bad Comrade",1,"Bad_Comrade_V3_Eurorack_module_manual_Recovery_Effects.pdf"
"Robaux","DCSN-3",1,"robauxDCSN3Manual.pdf"
"Schlappi Engineering","Three Body",1,"three_body_manual_01302023a.pdf"
"Schlappi Instruments","Angle Grinder",1,"angle_grinder_manual_20181022.pdf"
"Shakmat","Time Wizard",1,"TW-User_Manual.pdf"
"Sound Machines","Modulor 114",1,"MODULOR114-MANUAL-SEP16-V01.pdf"
"Synthesis Technology","E340 Cloud Generator",1,"E340_manual.pdf"
"TAKAAB","Odd Clock Divider",1,"TAKAAB OCD - Odd Clock Divider – Siam Modular.pdf"
"Tiptop Audio","BD808",1,"Tiptop_Audio_BD808_ns.pdf"
"Tiptop Audio","HATS808",1,"Tiptop_Audio_HATS808_ns.pdf",
"Tiptop Audio","MA808",1,"Tiptop_Audio_MA808_ns.pdf"
"Tiptop Audio","MISO",2,"Tiptop_Audio_miso.pdf"
"Tiptop Audio","MIXZ",1,"Tiptop_Audio_mixz.pdf"
"Tiptop Audio","MODFX FSU",1,"Tiptop_Audio_fx_manual_MODFX_FSU.pdf"
"Tiptop Audio","RS808",1,"Tiptop_Audio_RS808_ns.pdf",
"Tiptop Audio","SD808",1,"Tiptop_Audio_SD808_ns.pdf"
"Tiptop Audio","SD909",1,"Tiptop_Audio_SD909_ns.pdf"
"Tiptop Audio","TOMS909",1,"Tiptop_Audio_TOMS909_ns.pdf"
"Tiptop Audio","VCA",1,"Tiptop Audio VCA user manual_6.pdf"
"Tiptop Audio","ZVERB",1,"Tiptop_Audio_fx_manual.pdf"
"Tiptop Audio",Z4000,1,"Tiptop_Audio_z4000.pdf"
"Tiptop Audio",Z8000,1,"Tiptop_Audio_z8000.pdf"
"Toadstool Tech","Ectocore",1,"ectocore_quickstart.pdf"
"Tubbutec","6m0d6",1,"6m0d6-User-Manual.pdf"
"Vermona","Melodicer",1,"melodicer manual en 1.1 web.pdf"
"WMD SSF","Chimera",1,"Manual_v1.2.pdf"
"WMD SSF","Crater",1,"Kick_Manual.pdf"
"WMD SSF","DPLR",1,"DPLRmanual1.3.pdf"
"WMD SSF","Facture",1,"manual_black_fracture.pdf"
"Worng Electronics","Vector Space",1,"Vector Space Manual v1.00.pdf",
"Xaoc Devices","Batumi",5,"xaoc_batumi2_poti2_manual.pdf"
